pokedex_number,name,abilities,generation,classfication,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,speed,type1
114,Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1,Vine Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,115,1000000,65,100,40,60,grass
115,Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,Parent Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,100,1000000,105,60,100,100,normal
116,Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,Dragon Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,70,1000000,30,70,25,60,water
117,Seadra,"['Poison Point', 'Sniper', 'Damp']",1,Dragon Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,95,1000000,55,95,45,85,water
118,Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,Goldfish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,60,1000000,45,35,50,63,water
119,Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,Goldfish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,65,1000000,80,65,80,68,water
120,Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,Starshape Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,55,1250000,30,70,55,85,water
121,Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",1,Mysterious Pokemon,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,85,1250000,60,100,85,115,water
122,Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,Barrier Pokemon,0,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,65,1000000,40,100,120,90,psychic
123,Scyther,"['Swarm', 'Technician', 'Steadfast']",1,Mantis Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,80,1000000,70,55,80,105,bug
124,Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",1,Humanshape Pokemon,0,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,35,1000000,65,115,95,95,ice
125,Electabuzz,"['Static', 'Vital Spirit']",1,Electric Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,57,1000000,65,95,85,105,electric
126,Magmar,"['Flame Body', 'Vital Spirit']",1,Spitfire Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,57,1000000,65,100,85,93,fire
127,Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,Stagbeetle Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,120,1250000,65,65,90,105,bug
128,Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,Wild Bull Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,95,1250000,75,40,70,110,normal
129,Magikarp,"['Swift Swim', 'Rattled']",1,Fish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,55,1250000,20,15,20,80,water
130,Gyarados,"['Intimidate', 'Moxie']",1,Atrocious Pokemon,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,109,1250000,95,70,130,81,water
131,Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,Transport Pokemon,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,80,1250000,130,85,95,60,water
132,Ditto,"['Limber', 'Imposter']",1,Transform Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,48,1000000,48,48,48,48,normal
133,Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,Evolution Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,50,1000000,55,45,65,55,normal
134,Vaporeon,"['Water Absorb', 'Hydration']",1,Bubble Jet Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,60,1000000,130,110,95,65,water
135,Jolteon,"['Volt Absorb', 'Quick Feet']",1,Lightning Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,60,1000000,65,110,95,130,electric
136,Flareon,"['Flash Fire', 'Guts']",1,Flame Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,60,1000000,65,95,110,65,fire
137,Porygon,"['Trace', 'Download', 'Analytic']",1,Virtual Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,70,1000000,65,85,75,40,normal
138,Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,Spiral Pokemon,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,100,1000000,35,90,55,35,rock
139,Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,Spiral Pokemon,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,125,1000000,70,115,70,55,rock
140,Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,Shellfish Pokemon,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,90,1000000,30,55,45,55,rock
141,Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,Shellfish Pokemon,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,105,1000000,60,65,70,80,rock
142,Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",1,Fossil Pokemon,0,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,85,1250000,80,70,95,150,rock
143,Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1,Sleeping Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,65,1250000,160,65,110,30,normal
144,Articuno,"['Pressure', 'Snow Cloak']",1,Freeze Pokemon,1,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,100,1250000,90,95,125,85,ice
145,Zapdos,"['Pressure', 'Static']",1,Electric Pokemon,1,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,85,1250000,90,125,90,100,electric
146,Moltres,"['Pressure', 'Flame Body']",1,Flame Pokemon,1,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,90,1250000,90,125,85,90,fire
147,Dratini,"['Shed Skin', 'Marvel Scale']",1,Dragon Pokemon,0,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,45,1250000,41,50,50,50,dragon
148,Dragonair,"['Shed Skin', 'Marvel Scale']",1,Dragon Pokemon,0,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,65,1250000,61,70,70,70,dragon
149,Dragonite,"['Inner Focus', 'Multiscale']",1,Dragon Pokemon,0,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,95,1250000,91,100,100,80,dragon
150,Mewtwo,"['Pressure', 'Unnerve']",1,Genetic Pokemon,1,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,70,1250000,106,194,120,140,psychic
151,Mew,['Synchronize'],1,New Species Pokemon,1,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,100,1059860,100,100,100,100,psychic
152,Chikorita,"['Overgrow', 'Leaf Guard']",2,Leaf Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,65,1059860,45,49,65,45,grass
153,Bayleef,"['Overgrow', 'Leaf Guard']",2,Leaf Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,80,1059860,60,63,80,60,grass
154,Meganium,"['Overgrow', 'Leaf Guard']",2,Herb Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,100,1059860,80,83,100,80,grass
155,Cyndaquil,"['Blaze', 'Flash Fire']",2,Fire Mouse Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,43,1059860,39,60,50,65,fire
156,Quilava,"['Blaze', 'Flash Fire']",2,Volcano Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,58,1059860,58,80,65,80,fire
157,Typhlosion,"['Blaze', 'Flash Fire']",2,Volcano Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,78,1059860,78,109,85,100,fire
158,Totodile,"['Torrent', 'Sheer Force']",2,Big Jaw Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,64,1059860,50,44,48,43,water
159,Croconaw,"['Torrent', 'Sheer Force']",2,Big Jaw Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,80,1059860,65,59,63,58,water
160,Feraligatr,"['Torrent', 'Sheer Force']",2,Big Jaw Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,100,1059860,85,79,83,78,water
161,Sentret,"['Run Away', 'Keen Eye', 'Frisk']",2,Scout Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,34,1000000,35,35,45,20,normal
162,Furret,"['Run Away', 'Keen Eye', 'Frisk']",2,Long Body Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,64,1000000,85,45,55,90,normal
163,Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",2,Owl Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,30,1000000,60,36,56,50,normal
164,Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",2,Owl Pokemon,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,452,90,50,1000000,100,86,96,70,normal
165,Ledyba,"['Swarm', 'Early Bird', 'Rattled']",2,Five Star Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,265,255,30,800000,40,40,80,55,bug
166,Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",2,Five Star Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,390,90,50,800000,55,55,110,85,bug
167,Spinarak,"['Swarm', 'Insomnia', 'Sniper']",2,String Spit Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,3840,70,250,255,40,800000,40,40,40,30,bug
168,Ariados,"['Swarm', 'Insomnia', 'Sniper']",2,Long Leg Pokemon,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,400,90,70,800000,70,60,70,40,bug
169,Crobat,"['Inner Focus', 'Infiltrator']",2,Bat Pokemon,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,3840,70,535,90,80,1000000,85,70,80,130,poison
170,Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",2,Angler Pokemon,0,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,5120,70,330,190,38,1250000,75,56,56,67,water
171,Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",2,Light Pokemon,0,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,5120,70,460,75,58,1250000,125,76,76,67,water
172,Pichu,"['Static', 'Lightningrod']",2,Tiny Mouse Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,2560,70,205,190,15,1000000,20,35,35,60,electric
173,Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",2,Star Shape Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,28,800000,50,45,55,15,fairy
174,Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",2,Balloon Pokemon,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,2560,70,210,170,15,800000,90,40,20,15,normal
175,Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",2,Spike Ball Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,245,190,65,800000,35,40,65,20,fairy
176,Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",2,Happiness Pokemon,0,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,2560,70,405,75,85,800000,55,80,105,40,fairy
177,Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",2,Little Bird Pokemon,0,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,320,190,45,1000000,40,70,45,70,psychic
178,Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",2,Mystic Pokemon,0,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,5120,70,470,75,70,1000000,65,95,70,95,psychic
179,Mareep,"['Static', 'Plus']",2,Wool Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,280,235,40,1059860,55,65,45,35,electric
180,Flaaffy,"['Static', 'Plus']",2,Wool Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,5120,70,365,120,55,1059860,70,80,60,45,electric
181,Ampharos,"['Static', 'Plus']",2,Light Pokemon,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,610,45,105,1059860,90,165,110,45,electric
182,Bellossom,"['Chlorophyll', 'Healer']",2,Flower Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,490,45,95,1059860,75,90,100,50,grass
183,Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",2,Aquamouse Pokemon,0,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,2560,70,250,190,50,800000,70,20,50,40,water
184,Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",2,Aquarabbit Pokemon,0,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,420,75,80,800000,100,60,80,50,water
185,Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",2,Imitation Pokemon,0,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,115,1000000,70,30,65,30,rock
186,Politoed,"['Water Absorb', 'Damp', 'Drizzle']",2,Frog Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5120,70,500,45,75,1059860,90,90,100,70,water
187,Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,Cottonweed Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,5120,70,250,255,40,1059860,35,35,55,50,grass
188,Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,Cottonweed Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,50,1059860,55,45,65,80,grass
189,Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",2,Cottonweed Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,70,1059860,75,55,95,110,grass
190,Aipom,"['Run Away', 'Pickup', 'Skill Link']",2,Long Tail Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,55,800000,55,40,55,85,normal
191,Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,Seed Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,30,1059860,30,30,30,30,grass
192,Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,Sun Pokemon,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,55,1059860,75,105,85,30,grass
193,Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']",2,Clear Wing Pokemon,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,45,1000000,65,75,45,95,bug
194,Wooper,"['Damp', 'Water Absorb', 'Unaware']",2,Water Fish Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,45,1000000,55,25,25,15,water
195,Quagsire,"['Damp', 'Water Absorb', 'Unaware']",2,Water Fish Pokemon,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,85,1000000,95,65,65,35,water
196,Espeon,"['Synchronize', 'Magic Bounce']",2,Sun Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,60,1000000,65,130,95,110,psychic
197,Umbreon,"['Synchronize', 'Inner Focus']",2,Moonlight Pokemon,0,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,110,1000000,95,60,130,65,dark
198,Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",2,Darkness Pokemon,0,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,42,1059860,60,85,42,91,dark
199,Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",2,Royal Pokemon,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,80,1000000,95,100,110,30,water
200,Misdreavus,['Levitate'],2,Screech Pokemon,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,60,800000,60,85,85,85,ghost
201,Unown,['Levitate'],2,Symbol Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,48,1000000,48,72,48,48,psychic
202,Wobbuffet,"['Shadow Tag', 'Telepathy']",2,Patient Pokemon,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,58,1000000,190,33,58,33,psychic
203,Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,Long Neck Pokemon,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,65,1000000,70,90,65,85,normal
204,Pineco,"['Sturdy', 'Overcoat']",2,Bagworm Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,90,1000000,50,35,35,15,bug
205,Forretress,"['Sturdy', 'Overcoat']",2,Bagworm Pokemon,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,140,1000000,75,60,60,40,bug
206,Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",2,Land Snake Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,70,1000000,100,65,65,45,normal
207,Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",2,Flyscorpion Pokemon,0,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,105,1059860,65,35,65,85,ground
208,Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",2,Iron Snake Pokemon,0,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,230,1000000,75,55,95,30,steel
209,Snubbull,"['Intimidate', 'Run Away', 'Rattled']",2,Fairy Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,50,800000,60,40,40,30,fairy
210,Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",2,Fairy Pokemon,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,75,800000,90,60,60,45,fairy
211,Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",2,Balloon Pokemon,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,85,1000000,65,55,55,85,water
212,Scizor,"['Swarm', 'Technician', 'Light Metal']",2,Pincer Pokemon,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,140,1000000,70,65,100,75,bug
213,Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",2,Mold Pokemon,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,230,1059860,20,10,230,5,bug
214,Heracross,"['Swarm', 'Guts', 'Moxie']",2,Singlehorn Pokemon,0,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,115,1250000,80,40,105,75,bug
215,Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,Sharp Claw Pokemon,0,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,55,1059860,55,35,75,115,dark
216,Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",2,Little Bear Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,50,1000000,60,50,50,40,normal
217,Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",2,Hibernator Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,75,1000000,90,75,75,55,normal
218,Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",2,Lava Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,40,1000000,40,70,40,20,fire
219,Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",2,Lava Pokemon,0,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,120,1000000,60,90,80,30,fire
220,Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",2,Pig Pokemon,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,40,1250000,50,30,30,50,ice
221,Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",2,Swine Pokemon,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,80,1250000,100,60,60,50,ice
222,Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",2,Coral Pokemon,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,95,800000,65,65,95,35,water
223,Remoraid,"['Hustle', 'Sniper', 'Moody']",2,Jet Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,35,1000000,35,65,35,65,water
224,Octillery,"['Suction Cups', 'Sniper', 'Moody']",2,Jet Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,75,1000000,75,105,75,45,water
225,Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",2,Delivery Pokemon,0,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,45,800000,45,65,45,75,ice
226,Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",2,Kite Pokemon,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,70,1250000,85,80,140,70,water
227,Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",2,Armor Bird Pokemon,0,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,140,1250000,65,40,70,70,steel
228,Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",2,Dark Pokemon,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,30,1250000,45,80,50,65,dark
229,Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",2,Dark Pokemon,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,90,1250000,75,140,90,115,dark
230,Kingdra,"['Swift Swim', 'Sniper', 'Damp']",2,Dragon Pokemon,0,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,95,1000000,75,95,95,85,water
231,Phanpy,"['Pickup', 'Sand Veil']",2,Long Nose Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,60,1000000,90,40,40,40,ground
232,Donphan,"['Sturdy', 'Sand Veil']",2,Armor Pokemon,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,120,1000000,90,60,60,50,ground
233,Porygon2,"['Trace', 'Download', 'Analytic']",2,Virtual Pokemon,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,90,1000000,85,105,95,60,normal
